Album,url
Kiss (Deluxe),https://i.scdn.co/image/ab67616d0000b273a111f7769013f1731e9c697c
Back from the Edge,https://i.scdn.co/image/ab67616d0000b27320beb61f61fcbeb33b10a9ab
Jungle Rules,https://i.scdn.co/image/ab67616d0000b2738a31195a371b2233456f6c07
Victory,https://i.scdn.co/image/ab67616d0000b273ac271e5d670e92c42bf99237
Shawn Mendes (Deluxe),https://i.scdn.co/image/ab67616d0000b273c820f033bd82bef4355d1563
Stoney (Deluxe),https://i.scdn.co/image/ab67616d0000b27355404f712deb84d0650a4b41
Hybrid Theory (Bonus Edition),https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a
Vaaste,https://i.scdn.co/image/ab67616d0000b273b5e6c9ce5bb77c1607780315
Visualízate,https://i.scdn.co/image/ab67616d0000b2730e674e81c59a2308c1b4b660
Appetite For Destruction,https://i.scdn.co/image/ab67616d0000b27321ebf49b3292c3f0f575f0f5
Scorpion,https://i.scdn.co/image/ab67616d0000b273f907de96b9a4fbc04accc0d5
Teenage Dream,https://i.scdn.co/image/ab67616d0000b273d20c38f295039520d688a888
AM,https://i.scdn.co/image/ab67616d0000b273ba30859a1ca79c5a372d177a
FINAL (Vol.1),https://i.scdn.co/image/ab67616d0000b27321d546b7511792c3aa5b7eee
Baby Shark & More Kids Songs,https://i.scdn.co/image/ab67616d0000b273a16cb714df63d7e873605b6c
Voicenotes,https://i.scdn.co/image/ab67616d0000b273897f73256b9128a9d70eaf66
Night Visions,https://i.scdn.co/image/ab67616d0000b273b2b2747c89d2157b0b29fb6a
Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),https://i.scdn.co/image/ab67616d0000b2739bf23abed0a1e730a90d3490
Back 2 Love,https://i.scdn.co/image/ab67616d0000b27361e0b61e11706b9acff50231
Valiente,https://i.scdn.co/image/ab67616d0000b2737e193a3721f7181bdce2cf89
Up All Night,https://i.scdn.co/image/ab67616d0000b2734a5584795dc73860653a9a3e
A Star Is Born Soundtrack,https://i.scdn.co/image/ab67616d0000b273e2d156fdc691f57900134342
